matrix_id,recon_type,pattern_type,parameter_value,samp_rat,arr_size,seed,M,N_pixels,mean,var,std,contrast,entropy,autocorrelation width,effective_rank,cond_number,mutual coherence,nmse,psnr,ssim,runtime
Ridge_correlated noise_moderate_size32_samprat30_seed47,Ridge,Correlated noise,moderate,30,32,47,307,1024,0.4983616737806915,0.028678907813951465,0.16934848040047915,0.33981040138062996,10.000000000000002,4.0,140,519.7758113809138,0.984941934397935,1.6193978583055058,12.25412399859826,0.5236546193788041,0.0007863999999244697
CGI_correlated noise_large_size32_samprat30_seed47,CGI,Correlated noise,large,30,32,47,307,1024,0.49324181056556565,0.03351334325084771,0.18306649953185786,0.37114959764172717,10.000000000000002,6.778501628664495,58,102354.34817835547,0.9975548558060575,8.964637800303478,4.822332130517926,0.15116365514496186,0.0014407000053324737
DGI_correlated noise_large_size32_samprat30_seed47,DGI,Correlated noise,large,30,32,47,307,1024,0.49324181056556565,0.03351334325084771,0.18306649953185786,0.37114959764172717,10.000000000000002,6.778501628664495,58,102354.34817835547,0.9975548558060575,5.330359403591647,7.080094677809315,0.22081195285937288,0.002227000004495494
Ridge_correlated noise_large_size32_samprat30_seed47,Ridge,Correlated noise,large,30,32,47,307,1024,0.49324181056556565,0.03351334325084771,0.18306649953185786,0.37114959764172717,10.000000000000002,6.778501628664495,58,102354.34817835547,0.9975548558060575,2.635190010993585,10.139540248519193,0.40268947399899074,0.0016365999981644563
CGI_correlated noise_small_size32_samprat60_seed47,CGI,Correlated noise,small,60,32,47,614,1024,0.500474120708181,0.08371176005389253,0.2893298464622904,0.5781115036523861,10.000000000000002,2.0,459,183.37877209435058,0.807585977704317,3.0940055493090712,9.442448721342705,0.23334993126864273,0.0014822000011918135
DGI_correlated noise_small_size32_samprat60_seed47,DGI,Correlated noise,small,60,32,47,614,1024,0.500474120708181,0.08371176005389253,0.2893298464622904,0.5781115036523861,10.000000000000002,2.0,459,183.37877209435058,0.807585977704317,2.9358770485604233,9.670280966057284,0.29446610293418596,0.001580799995281268
Ridge_correlated noise_small_size32_samprat60_seed47,Ridge,Correlated noise,small,60,32,47,614,1024,0.500474120708181,0.08371176005389253,0.2893298464622904,0.5781115036523861,10.000000000000002,2.0,459,183.37877209435058,0.807585977704317,2.96185525064687,9.632021302137906,0.37283701244107764,0.0005035999929532409
CGI_correlated noise_moderate_size32_samprat60_seed47,CGI,Correlated noise,moderate,60,32,47,614,1024,0.49808344757154,0.02867952608363089,0.16935030582680058,0.34000388218509653,10.000000000000002,4.0,212,4462.877233532391,0.9843367531123772,6.651009793698226,6.118783730960832,0.16018396513685576,0.0006248000063351355
DGI_correlated noise_moderate_size32_samprat60_seed47,DGI,Correlated noise,moderate,60,32,47,614,1024,0.49808344757154,0.02867952608363089,0.16935030582680058,0.34000388218509653,10.000000000000002,4.0,212,4462.877233532391,0.9843367531123772,4.065661997708247,8.256346900758547,0.3134681382088851,0.000538200001756195
Ridge_correlated noise_moderate_size32_samprat60_seed47,Ridge,Correlated noise,moderate,60,32,47,614,1024,0.49808344757154,0.02867952608363089,0.16935030582680058,0.34000388218509653,10.000000000000002,4.0,212,4462.877233532391,0.9843367531123772,0.8881394078555223,14.862848197572045,0.6477833323767797,0.0007697000037296675
